Category,AL0 0,AT0 0,BA0 0,BE0 0,BG0 0,CH0 0,CZ0 0,DE0 0,DK0 0,DK1 0,EE0 0,ES0 0,ES6 0,FI1 0,FR0 0,FR5 0,GB2 0,GB3 0,GR0 0,HR0 0,HU0 0,IE3 0,IT0 0,IT4 0,LT0 0,LU0 0,LV0 0,ME0 0,MK0 0,NL0 0,NO1 0,PL0 0,PT0 0,RO0 0,RS0 0,SE1 0,SI0 0,SK0 0,XK0 0
hydrolysis,0.2617757500892596,0.1768190779747904,0.007682812595554982,0.001414199494364046,0.01031162590131939,0.1768190779747904,0.05691617913786268,0.04575533552323095,0.4730495241507716,0.4730495241507716,0.05499938514332593,0.22807292111646438,0.22807292111646438,0.18211153336650004,0.28255843754978,0.23112857830850958,0.20623826618619304,0.78807631301422,0.2617757500892596,0.007682812595554982,0.22691405275553467,0.78807631301422,0.23112857830850958,0.23112857830850958,0.5396756834080558,0.05385895706291727,0.06682980210316569,0.007682812595554982,0.22691405275553467,0.15845951167911695,0.2544677457146432,0.18531338137818928,0.2418514934925113,0.0031169640769890127,0.22691405275553467,0.10236757862973365,0.008548721258023976,0.03790994777321537,0.22691405275553467
industry,0.08110235545264649,0.2514835930274895,0.13012770818096336,0.27279794655961614,0.2654014999703501,0.2514835930274895,0.29064901047536634,0.28440825167739797,0.08005267310924455,0.08005267310924455,0.17929949652512173,0.10685990281752011,0.10685990281752011,0.23891907321872602,0.09717353137458797,0.16365467763298194,0.1448152408741239,0.03209569809337472,0.08110235545264649,0.13012770818096336,0.2392042289902311,0.03209569809337472,0.16365467763298194,0.16365467763298194,0.11850404425756919,0.19466174769559325,0.19504786923253503,0.13012770818096336,0.2392042289902311,0.16871474345609644,0.1645736859209569,0.21929969696604534,0.12998741715251852,0.23925192862152264,0.2392042289902311,0.2233876468230262,0.2871258703257141,0.365947551558809,0.2392042289902311
residentialTertiary,0.3466062443812909,0.20914582497476103,0.4186180754565624,0.3268291136990268,0.3231311693069664,0.20914582497476103,0.238590165654639,0.28257736619620855,0.21737851436725922,0.21737851436725922,0.3647086420973442,0.39400057830169877,0.39400057830169877,0.26331176402672807,0.2851249270984828,0.24668410511562364,0.28740614453611035,0.06634418241827478,0.3466062443812909,0.4186180754565624,0.2072749048027784,0.06634418241827478,0.24668410511562364,0.24668410511562364,0.14638384703417415,0.2705549856814833,0.35709428051459374,0.4186180754565624,0.2072749048027784,0.3693555075969619,0.26318952657042605,0.17965333594212293,0.2993244418486356,0.3162406444694296,0.2072749048027784,0.29506712707437927,0.2624383384845294,0.1949720561583819,0.2072749048027784
sanitaryHeating,0.05635003834657771,0.05718347892836056,0.06953140961479691,0.06961962122853158,0.06789555230385043,0.05718347892836056,0.042017821338984664,0.06794619452414138,0.03068078467559811,0.03068078467559811,0.03478759355390052,0.044791681919043265,0.044791681919043265,0.034138188322275054,0.0550128882698383,0.04968116126039628,0.07805401489864165,0.01804930080055101,0.05635003834657771,0.06953140961479691,0.056211822920703085,0.01804930080055101,0.04968116126039628,0.04968116126039628,0.023236476193170385,0.03726542308705264,0.07420701666247301,0.06953140961479691,0.056211822920703085,0.04174608395772642,0.03607514129301982,0.04681497630208515,0.03390560844169293,0.10184605908131195,0.056211822920703085,0.039828805247516294,0.07291709404612302,0.0682181639929723,0.056211822920703085
spaceHeating,0.10709090457221253,0.10721902299067604,0.10985312892879831,0.14525004466939367,0.09772900558518907,0.10721902299067604,0.10805686039198445,0.12375072743618439,0.060135048990468364,0.060135048990468364,0.12531014882319005,0.059963913694226496,0.059963913694226496,0.12978879907374838,0.11265510631673659,0.16140560851566774,0.0723609560200241,0.04388699852188773,0.10709090457221253,0.10985312892879831,0.06476834139124753,0.04388699852188773,0.16140560851566774,0.16140560851566774,0.030082406412336723,0.201393566059706,0.07519397615258071,0.10985312892879831,0.06476834139124753,0.1146827653595158,0.08743809013763074,0.08574678081918108,0.1368640475970309,0.0902804896602138,0.06476834139124753,0.10643691588660799,0.07323309445369015,0.08802414888326947,0.06476834139124753
transport,0.14707470715801274,0.19814900210392244,0.26418686522332413,0.18408907434906782,0.23553114693232458,0.19814900210392244,0.2637699630011629,0.1955621246428368,0.13870345470665818,0.13870345470665818,0.2408947338571176,0.16631100215104694,0.16631100215104694,0.1517306419920224,0.16747510939057436,0.14744586916682081,0.21112537748490695,0.05154750715169174,0.14707470715801274,0.26418686522332413,0.20562664913950512,0.05154750715169174,0.14744586916682081,0.14744586916682081,0.14211754269469365,0.24226532041324758,0.23162705533465183,0.26418686522332413,0.20562664913950512,0.1470413879505825,0.1942558103633233,0.2831718285923762,0.15806699146761072,0.24926391409053297,0.20562664913950512,0.2329119263387366,0.2957368814319193,0.2449281316333519,0.20562664913950512
