Category,max_fraction,tau,flex_share
hydrolysis,1.2,72,1
industry,1.1,4,1
residentialTertiary,1.0,4,1
sanitaryHeating,2.0,12,1
spaceHeating,1.1,4,1
transport,1.0,24,1
