Category,max_fraction,tau,flex_share
hydrolysis,1.2,168,0.8
industry,1.1,168,0.4
residentialTertiary,1.0,168,0.1
sanitaryHeating,2.0,168,0.5
spaceHeating,1.1,168,0.5
transport,1.0,168,0.5
